timestamp,pm1ConcMass,pm1ConcNum,pm2_5ConcMass,pm2_5ConcNum,pm10ConcMass,pm10ConcNum,no2Conc,relHumid,temperature
2022-11-15T18:10:18.482Z,8.42,10.74,17.35,11.37,20.27,11.53,-1.65,56.24,9.94
2022-11-15T17:53:15.794Z,9.85,11.59,19.65,12.32,22.69,12.43,-11.31,58.1,9.45
2022-11-15T17:36:13.024Z,8.19,9.9,15.81,10.52,19.85,10.64,-1.85,58.51,8.97
2022-11-15T17:19:10.189Z,8.23,10.13,18.38,10.82,21.08,10.98,-1.26,60.04,8.49
2022-11-15T17:02:07.237Z,8.85,10.21,17.23,10.86,23.31,11.01,-4.64,60.65,7.96
2022-11-15T16:45:04.197Z,9.7,10.92,19.42,11.56,25.44,11.72,-3.44,61.96,7.55
2022-11-15T16:28:01.078Z,8.77,10.11,17.65,10.81,21.42,10.96,0.9,65.48,6.49
2022-11-15T16:10:57.985Z,10.96,11.71,20.35,12.42,27.08,12.6,-0.09,66.04,6.17
2022-11-15T15:53:54.768Z,10.15,11.38,21.96,12.19,27.23,12.38,-0.83,65.05,6.28
2022-11-15T15:36:51.562Z,9.42,10.17,19.27,10.88,23.88,11.0,8.12,67.84,6.15
2022-11-15T15:19:48.465Z,10.77,11.67,20.69,12.39,25.85,12.53,-5.31,67.49,5.84
2022-11-15T15:02:45.311Z,10.19,10.98,21.65,11.66,25.92,11.83,0.5,68.69,5.84
2022-11-15T14:45:42.020Z,8.81,10.22,22.64,10.88,27.5,11.12,-0.9,70.93,5.45
2022-11-15T14:28:38.826Z,7.35,8.21,15.31,8.69,19.73,8.83,-1.59,71.74,5.25
2022-11-15T14:11:35.347Z,8.62,9.61,17.19,10.11,20.65,10.25,-3.15,72.26,5.11
2022-11-15T13:54:31.920Z,7.77,8.76,16.0,9.35,19.27,9.47,5.78,72.7,4.98
2022-11-15T13:37:28.521Z,7.5,8.89,14.42,9.32,17.19,9.42,7.79,74.64,4.77
2022-11-15T13:20:25.227Z,5.73,7.86,13.92,8.38,16.15,8.49,14.24,74.63,4.68
2022-11-15T13:03:21.845Z,7.38,8.1,14.12,8.54,16.5,8.65,11.0,75.65,4.6
2022-11-15T12:46:18.411Z,6.81,8.19,13.73,8.66,16.77,8.75,12.4,75.33,4.71
2022-11-15T12:29:15.006Z,8.62,8.75,16.92,9.35,18.46,9.45,10.85,74.92,4.98
2022-11-15T12:12:11.676Z,8.5,9.06,14.69,9.5,15.31,9.58,13.97,74.57,5.19
2022-11-15T11:55:08.427Z,7.27,8.48,15.58,9.04,20.62,9.16,13.47,73.59,5.29
2022-11-15T11:38:05.208Z,6.62,8.48,14.85,8.95,19.96,9.07,13.9,73.51,5.39
2022-11-15T11:21:01.964Z,8.15,9.32,16.62,9.88,19.23,9.99,14.29,73.01,5.42
2022-11-15T11:03:58.844Z,6.88,8.05,13.35,8.51,18.08,8.6,11.01,73.83,5.56
2022-11-15T10:46:55.618Z,7.19,7.89,12.31,8.25,14.23,8.34,17.79,76.5,5.71
2022-11-15T10:29:52.518Z,6.42,7.65,12.77,8.07,15.04,8.19,17.96,76.5,5.69
2022-11-15T10:12:49.507Z,5.23,6.64,10.27,6.99,12.46,7.05,16.44,76.72,5.6
2022-11-15T09:55:46.258Z,6.19,7.63,11.31,8.0,12.96,8.09,16.83,76.45,5.69
2022-11-15T09:38:43.015Z,5.62,7.17,9.77,7.46,11.35,7.52,18.92,75.83,5.81
2022-11-15T09:21:39.878Z,4.19,6.1,9.08,6.33,10.11,6.4,17.6,75.26,6.04
2022-11-15T09:04:36.664Z,3.92,5.73,7.27,5.97,7.88,6.01,15.47,74.11,6.29
2022-11-15T08:47:33.436Z,4.58,6.42,8.54,6.7,10.88,6.76,14.79,73.29,6.55
2022-11-15T08:30:30.155Z,4.77,6.14,8.15,6.39,9.31,6.45,12.47,73.06,6.85
2022-11-15T08:13:26.854Z,5.58,7.37,11.15,7.7,13.08,7.8,11.87,72.97,7.18
2022-11-15T07:56:23.729Z,4.69,7.03,9.62,7.33,10.58,7.4,11.7,75.12,7.51
2022-11-15T07:39:20.701Z,5.19,7.1,9.92,7.43,11.65,7.48,15.3,75.21,7.9
2022-11-15T07:22:17.537Z,4.04,6.26,7.58,6.53,9.35,6.59,10.55,74.65,8.29
2022-11-15T07:05:14.591Z,5.19,7.0,8.5,7.28,9.35,7.33,8.47,73.89,8.65
2022-11-15T06:48:11.830Z,4.62,6.89,7.88,7.14,8.58,7.21,7.14,75.34,9.09
2022-11-15T06:31:09.107Z,5.62,7.38,9.15,7.73,10.73,7.78,11.73,75.66,9.6
2022-11-15T06:14:06.144Z,9.62,11.52,17.15,12.28,18.88,12.37,11.55,77.88,10.04
2022-11-15T05:57:03.183Z,16.58,18.89,32.15,20.27,36.46,20.51,6.78,80.36,10.28
2022-11-15T05:40:00.201Z,17.53,19.91,37.53,21.27,43.39,21.61,18.29,80.81,10.37
2022-11-15T05:22:57.175Z,19.15,21.1,33.35,22.47,39.35,22.7,15.89,80.93,10.31
2022-11-15T05:05:54.163Z,17.75,19.94,31.52,21.13,34.17,21.35,8.87,79.76,10.52
2022-11-15T04:48:51.221Z,19.0,21.45,35.94,22.78,40.05,23.11,5.31,78.9,10.93
2022-11-15T04:31:48.570Z,17.38,19.84,30.65,21.1,33.65,21.3,13.0,78.43,11.19
2022-11-15T04:14:45.941Z,17.81,20.3,33.0,21.66,38.04,21.85,12.18,79.55,11.27
2022-11-15T03:57:43.228Z,19.55,22.56,34.77,23.96,42.04,24.24,14.07,78.74,11.31
2022-11-15T03:40:40.525Z,20.72,23.25,38.3,24.79,44.72,25.09,0.12,80.27,11.31
2022-11-15T03:23:37.984Z,23.94,26.96,43.66,28.84,50.11,29.14,16.35,82.78,11.37
2022-11-15T03:06:35.443Z,21.37,25.7,44.92,27.55,56.55,28.03,13.66,82.31,11.4
2022-11-15T02:49:32.870Z,27.17,31.4,48.51,33.62,60.89,34.02,14.98,82.49,11.44
2022-11-15T02:32:30.159Z,28.39,34.3,50.47,36.34,64.22,36.78,-0.84,83.44,11.47
2022-11-15T02:15:27.460Z,26.34,29.89,46.17,31.83,57.74,32.17,17.4,83.54,11.45
2022-11-15T01:58:24.700Z,21.55,24.87,41.5,26.66,49.16,26.94,17.53,83.65,11.44
2022-11-15T01:41:21.986Z,27.69,31.12,49.82,33.1,61.76,33.55,13.85,82.89,11.55
2022-11-15T01:24:19.255Z,29.33,33.66,54.22,35.98,68.98,36.52,18.44,84.65,11.6
2022-11-15T01:07:16.571Z,21.28,25.55,43.86,27.43,54.73,27.82,9.2,83.58,11.75
2022-11-15T00:50:13.965Z,31.27,38.19,51.54,40.6,64.19,40.92,18.18,82.57,11.98
2022-11-15T00:33:11.393Z,33.71,44.37,57.94,47.26,76.39,47.8,15.38,83.82,12.18
2022-11-15T00:16:08.705Z,25.81,30.78,46.94,32.86,59.63,33.3,16.06,83.1,12.33
2022-11-14T23:59:06.136Z,24.78,29.93,44.97,31.69,57.78,32.05,5.38,82.72,12.52
2022-11-14T23:42:03.717Z,21.98,27.45,40.49,29.28,44.33,29.53,16.14,83.26,12.68
2022-11-14T23:25:01.247Z,18.97,22.22,33.99,23.65,38.54,23.92,8.47,82.65,12.88
2022-11-14T23:07:58.716Z,20.65,25.47,36.93,27.03,41.83,27.3,9.24,80.98,13.13
2022-11-14T22:50:56.391Z,16.39,20.1,28.24,21.29,30.63,21.46,7.24,80.47,13.34
2022-11-14T22:33:53.946Z,15.97,19.32,27.28,20.45,29.86,20.62,-0.99,80.35,13.46
2022-11-14T22:16:51.469Z,15.22,18.83,29.41,19.93,33.73,20.21,5.79,81.68,12.86
2022-11-14T21:59:48.858Z,12.19,15.08,22.33,15.94,24.75,16.09,13.34,82.41,12.36
2022-11-14T21:42:46.358Z,12.27,15.32,22.19,16.2,23.15,16.32,17.49,83.6,12.11
2022-11-14T21:25:43.904Z,19.14,22.94,34.92,24.32,39.2,24.56,26.68,85.04,11.85
2022-11-14T21:08:41.269Z,18.85,21.26,33.46,22.65,38.43,22.85,4.67,85.19,11.64
2022-11-14T20:51:38.545Z,12.27,15.09,22.73,16.0,26.77,16.17,2.21,84.26,11.27
2022-11-14T20:34:35.893Z,18.04,20.33,30.58,21.61,35.5,21.8,20.1,86.11,11.1
2022-11-14T20:17:33.110Z,16.17,19.43,31.97,20.75,36.33,20.99,13.38,86.69,10.99
2022-11-14T20:00:30.450Z,11.46,13.82,20.19,14.65,23.15,14.74,26.69,86.12,10.73
2022-11-14T19:43:27.728Z,15.27,17.09,25.19,18.1,29.15,18.26,-1.43,86.07,10.65
2022-11-14T19:26:24.857Z,16.13,18.84,29.72,19.99,33.46,20.19,23.11,85.43,10.52
