timestamp,pm1ConcMass,pm1ConcNum,pm2_5ConcMass,pm2_5ConcNum,pm10ConcMass,pm10ConcNum,no2Conc,relHumid,temperature
2022-11-15T18:09:07.682Z,9.92,13.23,17.92,13.96,18.12,14.06,9.14,57.23,10.0
2022-11-15T17:52:02.051Z,13.15,15.72,22.88,16.68,25.27,16.84,10.01,59.23,9.44
2022-11-15T17:34:56.324Z,10.61,13.74,21.0,14.66,22.94,14.83,7.8,59.97,8.96
2022-11-15T17:17:47.672Z,10.0,11.98,19.08,12.75,20.04,12.89,8.38,61.53,8.49
2022-11-15T17:00:38.934Z,10.54,12.53,19.31,13.31,20.46,13.46,7.32,62.37,7.98
2022-11-15T16:43:33.057Z,11.42,14.09,21.46,14.92,23.08,15.04,9.41,64.05,7.43
2022-11-15T16:26:27.145Z,12.23,14.16,23.12,15.1,25.69,15.24,9.7,66.5,6.4
2022-11-15T16:09:17.931Z,11.73,14.15,22.27,15.03,23.23,15.15,9.19,66.66,6.17
2022-11-15T15:52:11.523Z,11.65,13.52,21.54,14.33,22.69,14.45,5.99,65.51,6.31
2022-11-15T15:35:02.155Z,11.27,13.39,22.31,14.19,23.38,14.33,9.49,69.08,6.01
2022-11-15T15:17:52.670Z,11.85,13.97,24.62,14.88,26.23,15.04,7.37,68.17,5.79
2022-11-15T15:00:43.076Z,12.0,13.82,22.85,14.64,24.42,14.78,8.64,69.4,5.76
2022-11-15T14:43:36.416Z,11.04,12.66,19.38,13.41,20.96,13.53,10.49,71.47,5.34
2022-11-15T14:26:29.818Z,9.58,11.65,18.04,12.19,19.0,12.31,9.69,71.8,5.15
2022-11-15T14:09:23.294Z,8.81,10.83,17.65,11.51,18.88,11.61,9.25,72.52,5.02
2022-11-15T13:52:16.669Z,10.36,11.84,19.94,12.51,22.5,12.65,9.78,73.0,4.88
2022-11-15T13:35:10.057Z,9.46,11.36,18.38,12.03,19.38,12.13,9.78,74.56,4.67
2022-11-15T13:18:03.203Z,8.81,11.1,18.19,11.77,18.77,11.88,9.44,74.49,4.59
2022-11-15T13:00:56.451Z,8.81,10.43,16.38,11.0,17.81,11.1,9.98,75.36,4.53
2022-11-15T12:43:49.757Z,10.73,12.96,21.19,13.76,22.35,13.89,8.52,75.32,4.7
